Measurement taken on,Hydrometer distance
2020-10-12T21:01:34+00:00,7.56
2020-10-12T21:02:19+00:00,7.79
2020-10-12T21:04:02+00:00,7.47
2020-10-12T21:06:43+00:00,7.59
2020-10-12T21:09:29+00:00,7.64
2020-10-12T21:10:15+00:00,7.37
2020-10-12T21:15:20+00:00,7.58
2020-10-12T21:15:43+00:00,7.73
2020-10-12T21:20:23+00:00,7.54
2020-10-12T21:21:08+00:00,7.53
2020-10-12T21:21:30+00:00,7.88
2020-10-12T21:23:28+00:00,7.56
2020-10-12T21:27:59+00:00,7.48
2020-10-12T21:31:31+00:00,7.61
2020-10-12T21:33:29+00:00,7.54
2020-10-12T21:33:51+00:00,7.42
2020-10-12T21:40:08+00:00,7.89
2020-10-12T21:42:28+00:00,7.39
2020-10-12T21:44:02+00:00,7.34
2020-10-12T21:50:29+00:00,7.48
2020-10-12T21:50:50+00:00,8.08
2020-10-12T21:53:58+00:00,7.65
2020-10-12T21:54:43+00:00,7.56
2020-10-12T21:55:51+00:00,7.5
2020-10-12T21:57:46+00:00,7.94
2020-10-12T21:59:44+00:00,8.38
2020-10-12T22:02:02+00:00,7.73
2020-10-12T22:02:47+00:00,7.58
2020-10-12T22:03:10+00:00,7.42
2020-10-12T22:04:18+00:00,7.54
2020-10-12T22:08:03+00:00,7.74
2020-10-12T22:10:12+00:00,7.21
2020-10-12T22:12:55+00:00,7.17
2020-10-12T22:16:39+00:00,8.33
2020-10-12T22:17:48+00:00,7.46
2020-10-12T22:21:19+00:00,7.91
2020-10-12T22:23:14+00:00,7.86
2020-10-12T22:23:59+00:00,8.03
2020-10-12T22:25:32+00:00,7.81
2020-10-12T22:28:04+00:00,8.12
2020-10-12T22:28:25+00:00,7.48
2020-10-12T22:30:00+00:00,8.26
2020-10-12T22:32:19+00:00,8.33
2020-10-12T22:35:38+00:00,8.14
2020-10-12T22:43:30+00:00,8.31
2020-10-12T22:45:03+00:00,8.33
2020-10-12T22:45:25+00:00,8.03
2020-10-12T22:46:15+00:00,8.39
2020-10-12T22:47:36+00:00,8.12
2020-10-12T22:48:15+00:00,8.2
2020-10-12T22:49:54+00:00,7.95
2020-10-12T22:50:40+00:00,8.35
2020-10-12T22:54:17+00:00,8.12
2020-10-12T22:54:40+00:00,8.32
2020-10-12T22:56:15+00:00,8.25
2020-10-12T22:57:24+00:00,8.16
2020-10-12T22:57:45+00:00,8.02
2020-10-12T22:58:07+00:00,8.19
2020-10-12T23:02:28+00:00,8.32
2020-10-12T23:02:51+00:00,8.33
2020-10-12T23:05:12+00:00,8.16
2020-10-12T23:09:34+00:00,8.17
2020-10-12T23:10:45+00:00,8.22
2020-10-12T23:12:17+00:00,8.32
2020-10-12T23:13:02+00:00,8.21
2020-10-12T23:14:35+00:00,7.95
2020-10-12T23:15:20+00:00,8.18
2020-10-12T23:15:42+00:00,8.21
2020-10-12T23:16:03+00:00,8.23
2020-10-12T23:20:34+00:00,8.14
2020-10-12T23:21:19+00:00,7.95
2020-10-12T23:22:28+00:00,8.15
2020-10-12T23:24:24+00:00,8.27
2020-10-12T23:25:57+00:00,8.22
2020-10-12T23:26:42+00:00,7.99
2020-10-12T23:30:51+00:00,7.86
2020-10-12T23:32:47+00:00,7.87
2020-10-12T23:33:10+00:00,7.88
2020-10-12T23:39:00+00:00,7.99
2020-10-12T23:39:22+00:00,7.88
2020-10-12T23:45:19+00:00,7.86
2020-10-12T23:45:42+00:00,7.87
2020-10-12T23:47:15+00:00,7.87
2020-10-12T23:48:23+00:00,7.92
2020-10-12T23:49:33+00:00,7.96
2020-10-12T23:54:27+00:00,7.86
2020-10-12T23:58:36+00:00,7.88
2020-10-12T23:58:59+00:00,7.92
2020-10-13T00:00:35+00:00,7.88
2020-10-13T00:03:44+00:00,7.87
2020-10-13T00:05:41+00:00,7.86
2020-10-13T00:08:25+00:00,7.86
2020-10-13T00:09:35+00:00,7.86
2020-10-13T00:12:20+00:00,7.88
2020-10-13T00:14:17+00:00,7.87
2020-10-13T00:15:03+00:00,7.88
2020-10-13T00:15:25+00:00,7.88
2020-10-13T00:16:11+00:00,7.88
2020-10-13T00:17:46+00:00,7.87
2020-10-13T00:18:08+00:00,7.88
2020-10-13T00:20:54+00:00,7.88
2020-10-13T00:21:16+00:00,7.88
2020-10-13T00:22:01+00:00,7.91
2020-10-13T00:22:23+00:00,8.13
2020-10-13T00:22:45+00:00,7.87
2020-10-13T00:23:33+00:00,7.88
2020-10-13T00:23:55+00:00,7.86
2020-10-13T00:26:28+00:00,7.87
2020-10-13T00:28:48+00:00,7.88
2020-10-13T00:29:35+00:00,7.86
2020-10-13T00:31:08+00:00,7.88
2020-10-13T00:31:53+00:00,8.04
2020-10-13T00:32:16+00:00,7.92
2020-10-13T00:32:39+00:00,7.88
2020-10-13T00:33:25+00:00,7.88
2020-10-13T00:34:12+00:00,7.88
2020-10-13T00:37:34+00:00,8.13
2020-10-13T00:37:56+00:00,7.88
2020-10-13T00:41:30+00:00,7.96
2020-10-13T00:41:53+00:00,7.87
2020-10-13T00:44:15+00:00,7.87
2020-10-13T00:44:36+00:00,7.87
2020-10-13T00:44:58+00:00,7.87
2020-10-13T00:47:18+00:00,7.88
2020-10-13T00:48:53+00:00,8.01
2020-10-13T00:50:01+00:00,7.93
2020-10-13T00:50:48+00:00,7.92
2020-10-13T00:51:10+00:00,7.87
2020-10-13T00:53:12+00:00,7.87
2020-10-13T00:53:58+00:00,7.87
2020-10-13T00:54:43+00:00,7.88
2020-10-13T00:55:28+00:00,7.88
2020-10-13T00:56:39+00:00,7.88
2020-10-13T00:57:01+00:00,7.88
2020-10-13T00:58:10+00:00,7.88
2020-10-13T01:01:45+00:00,7.86
2020-10-13T01:04:05+00:00,7.88
2020-10-13T01:07:15+00:00,7.88
2020-10-13T01:12:03+00:00,7.88
2020-10-13T01:14:51+00:00,7.88
2020-10-13T01:16:28+00:00,7.88
2020-10-13T01:22:50+00:00,7.88
2020-10-13T01:24:47+00:00,7.88
2020-10-13T01:25:32+00:00,7.87
2020-10-13T01:26:19+00:00,7.88
2020-10-13T01:28:41+00:00,7.86
2020-10-13T01:30:14+00:00,7.88
2020-10-13T01:32:11+00:00,7.87
2020-10-13T01:39:55+00:00,7.88
2020-10-13T01:43:39+00:00,7.88
2020-10-13T01:44:24+00:00,7.87
2020-10-13T01:44:46+00:00,7.87
2020-10-13T01:52:17+00:00,8.24
2020-10-13T01:54:40+00:00,8.42
2020-10-13T01:59:03+00:00,8.2
2020-10-13T02:00:37+00:00,7.97
2020-10-13T02:03:23+00:00,7.97
2020-10-13T02:04:13+00:00,8.38
2020-10-13T02:04:35+00:00,8.3
2020-10-13T02:05:21+00:00,7.97
2020-10-13T02:05:42+00:00,7.97
2020-10-13T02:08:04+00:00,8.02
